All CCC Companies;;End-of-month update at:;http://dripinvesting.org/Tools/Tools.htm;;;;;;;;;;;;;;Fundamental Data;;;;;Numbers in Blue directly from FinViz.com;;;;;;;(Brown=Yahoo Finance);;;;;;;Dividends Paid by Year;;;;;;;;;;;;;;;;;;;;;;;Percentage Increase by Year;;;;;;;;;;;;;;;;;Special Formulas;;;Dividend Growth Model;;;;;;;Technical Data;;;;
(and American Depository Receipts);;;;;;;;;Dates in Green (centered) indicate increase (by Ex-Div. Date) expected in next 2 months;;;;;;;;;;;Abbreviations:;;"EPS=Earnings Per Share; P/E=Price/Earnings Per Share; TTM=Trailing Twelve Months; MRQ=Most Recent Quarter,";;;;;;;;;;;;;;(excluding Special/Extra Dividends);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(see Notes tab);;;(based on Earnings Estimates, if available);;;;;;;;;;;
Note: This worksheet does not include the formulas in the Champions, Contenders, and Challengers worksheets;;;;;;;;;Dates in Red (right-aligned) indicate last increase more than a year ago (Ex-Div Date);;;;;;;;;;;;;"PEG=P/E divided by 5-yr future growth rate; FCF=Free Cash Flow, ROE=Return On Equity, TY=This Year; NY=Next Year";;;;;;;;;;;;;;*A/D=Acceleration/Deceleration (5-year average increase divided by 10-year average increase);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Past Performance is No Guarantee of Future Results;;;;;;;;MMA=Moving Market Average;;;
5 or more straight years of higher dividends;;;;;;;;;Most Recent Dividend Increase Information;;;;;;;;Disclaimer: Although all figures are thought to be correct, no guarantee is expressed or implied.;;;;;;;;;;;;;;;;;;;;(DGR=Dividend Growth Rate);;;;;"# Column on right excludes amount normally paid in following year but accelerated; included next year (column on left)";;;;;;;;;;;;;;;;15 yrs;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;Mean;;;;;;;;;;;5-year Total;;;Current Price as % from:;;;
Company;Ticker;;No.;CCC;DRIP Fees;;10-31-14;Div.;Quarterly Rate;;MR%;;Dividend Dates;;Qtly;&=MultiIncThisYr;Annual;EPS%;+/-% vs.;TTM;FYE;TTM;PEG;TTM;MRQ;TTM;TY%;NY%;Past 5yr;Est 5-yr;N;MktCap;Inside;Debt/;Past 5yr;5/10;DGR;DGR;DGR;DGR;;;Amounts in Red indicate no increase during year;;;;;;;;;;;;;;;'99-'13;vs.;vs.;vs.;vs.;vs.;vs.;vs.;vs.;vs.;vs.;vs.;vs.;vs.;vs.;(simple;Standard;;Tweed;Chowder;Confid.;Estimated Dividends to be Paid in Year:;;;;;Est. Payback;;5-yr;52-wk;52-wk;50-day;200-day
Name;Symbol;Industry;Yrs;Seq;DR;SP;Price;Yield;Old;New;Inc.;Ex-Div;Record;Pay;Sch;Note;Dividend;Payout;Graham;P/E;Month;EPS;Ratio;P/Sales;P/Book;ROE;Growth;Growth;Growth;Growth;A;($Mil);Own.;Equity;DEG;A/D*;1-yr;3-yr;5-yr;10-yr;2013;#;2012;2011;#;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;RegDivs;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;average);Deviation;Sector;Factor;Rule;Factor;2014;2015;2016;2017;2018;$;%;Beta;Low;High;MMA;MMA
1st Source Corp.;SRCE;Banking;27;101;-;-;31.29;2.30;0.1700;0.1800;5.88;5-1-14;5-5-14;5-15-14;B15;;0.72;31.17;(12.6);13.55;12;2.31;2.71;4.16;1.27;9.50;10.4 ;4.8 ;10.2 ;5.0 ;0 ;747;1.2;0.20;0.317;0.443 ;3.0;3.7;3.2;7.3;0.680;;0.660;0.640;;0.610;0.590;0.580;0.560;0.535;0.445;0.382;0.336;0.327;0.323;0.304;0.264;7.237;3.0;3.1;4.9;3.4;1.7;3.6;4.8;20.0;16.7;13.5;2.8;1.2;6.3;15.3;7.2;6.1;Financials;(8.0);5.5 ;54.1;0.75;0.78;0.82;0.86;0.91;4.13;13.2;1.08 ;15.0 ;(4.6);6.4 ;4.2 
3M Company;MMM;Conglomerate;56;8;N;N;153.77;2.22;0.6350;0.8550;34.65;2-12-14;2-14-14;3-12-14;C12;;3.42;46.98;139.7 ;21.12;12;7.28;1.77;3.11;6.12;28.50;6.3 ;9.6 ;6.6 ;12.0 ;19 ;98,539;0.0;0.45;0.742;0.724 ;7.6;6.5;4.9;6.8;2.540;;2.360;2.200;;2.100;2.040;2.000;1.920;1.840;1.680;1.440;1.320;1.240;1.200;1.160;1.120;26.160;7.6;7.3;4.8;2.9;2.0;4.2;4.3;9.5;16.7;9.1;6.5;3.3;3.4;3.6;6.1;3.7;Industrials;(14.0);7.1 ;70.7;2.70;2.96;3.26;3.58;3.94;16.44;10.7;1.09 ;26.7 ;0.9 ;7.7 ;11.2 
A. Schulman Inc.;SHLM;Chemical-Specialty;7;416;-;-;35.41;2.32;0.2000;0.2050;2.50;10-23-14;10-27-14;11-5-14;B05;;0.82;65.08;52.8 ;28.10;8;1.26;1.62;0.44;1.87;7.20;(36.0);16.2 ;(0.2);17.4 ;5 ;1,032;1.0;0.57;n/a;1.495 ;5.4;9.1;5.7;3.8 ;0.785;#;0.745;0.635;;0.605;0.600;0.595;0.580;0.580;0.580;0.540;0.540;0.540;0.540;0.540;0.500;8.905;5.4;17.3;5.0;0.8;0.8;2.6;0.0;0.0;7.4;0.0;0.0;0.0;0.0;8.0;3.4;4.8;Materials;(20.1);8.0 ;49.7;0.79;0.87;0.96;1.06;1.16;4.84;13.7;1.41 ;24.3 ;(16.1);0.2 ;(1.3)
A.O. Smith Corp.;AOS;Industrial Equipment;21;128;N;N;53.35;1.12;0.1200;0.1500;25.00;2-5-14;2-7-14;2-18-14;B18;;0.60;27.78;96.3 ;24.70;12;2.16;1.07;2.10;3.51;14.60;4.6 ;13.1 ;33.6 ;23.0 ;11 ;4,803;0.3;0.19;0.395;1.466 ;27.8;19.4;13.3;9.1 ;0.460;;0.360;0.300;;0.270;0.257;0.247;0.233;0.220;0.213;0.207;0.193;0.180;0.173;0.167;0.160;3.640;27.8;20.0;11.1;5.2;4.1;5.7;6.1;3.1;3.2;6.9;7.4;3.8;4.0;4.2;8.0;6.9;Industrials;(10.3);14.4 ;75.8;0.48;0.53;0.58;0.64;0.70;2.94;5.5;1.25 ;22.0 ;(2.1);9.8 ;11.3 
Aaron's Inc.;AAN;Retail-Rental;11;271;-;-;24.76;0.34;0.0170;0.0210;23.53;11-27-13;12-2-13;1-3-14;A03;;0.08;6.89;16.7 ;20.30;12;1.22;1.98;0.76;1.51;7.60;(29.8);32.7 ;8.3 ;10.3 ;12 ;1,790;0.7;0.52;1.177;0.512 ;13.3;12.3;9.8;19.1 ;0.068;;0.060;0.052;;0.048;0.045;0.043;0.040;0.037;0.035;0.026;0.012;0.012;0.012;0.012;0.012;0.514;13.3;15.4;8.3;5.9;6.2;6.7;7.1;5.7;33.6;123.0;0.0;0.0;0.0;0.0;16.1;30.8;Consumer Discretionary;(10.2);10.1 ;73.5;0.07;0.08;0.08;0.09;0.10;0.42;1.7;1.37 ;6.5 ;(32.6);(0.3);(14.9)
ABB Limited;ABB;Machinery;5;494;-;-;21.94;3.59;0.7241;0.7887;8.92;5-5-14;5-7-14;5-15-14;May;Annual,Switz.;0.79;71.05;58.0 ;19.77;12;1.11;1.70;1.21;2.84;13.90;4.2 ;17.2 ;(2.1);11.6 ;12 ;50,452;0.0;0.50;n/a;n/a;3.0;14.4;9.4;(5.2);0.724;;0.703;0.683;;0.484;0.445;0.463;0.196;0.098;0.000;0.000;1.230;0.000;0.000;0.000;0.000;5.024;3.0;3.0;41.1;8.8;0.0;136.6;99.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.9;41.7;Industrials;(6.8);13.0 ;56.7;0.75;0.83;0.91;1.00;1.10;4.61;21.0;1.38 ;10.1 ;(16.8);(0.9);(6.4)
ABM Industries Inc.;ABM;Business Services;47;19;Y;N;27.64;2.24;0.1500;0.1550;3.33;12-30-13;1-2-14;2-3-14;B03;;0.62;49.21;26.1 ;21.94;10;1.26;2.74;0.31;1.63;7.70;14.0 ;10.7 ;4.8 ;8.0 ;6 ;1,541;1.9;0.33;0.774;0.795 ;3.4;3.6;3.7;4.7;0.600;#;0.580;0.560;;0.540;0.520;0.500;0.480;0.440;0.420;0.400;0.380;0.360;0.330;0.310;0.280;6.700;3.4;3.6;3.7;3.8;4.0;4.2;9.1;4.8;5.0;5.3;5.6;9.1;6.5;10.7;5.6;2.3;Industrials;(16.0);6.0 ;63.5;0.66;0.73;0.78;0.85;0.91;3.93;14.2;0.95 ;14.8 ;(4.7);4.3 ;3.8 
Accenture plc;ACN;Business Services;10;348;-;-;81.12;2.51;0.9300;1.0200;9.68;10-15-14;10-17-14;11-17-14;MyNv;SA,@,Ire,US$;2.04;48.00;175.2 ;19.09;8;4.25;1.74;1.71;8.93;54.60;(13.8);8.8 ;11.7 ;11.0 ;28 ;54,440;0.3;0.00;2.421;n/a;17.2;28.2;28.3;n/a;1.740;;1.485;1.125;;0.825;0.750;0.500;0.420;0.350;0.300;0.000;0.000;0.000;0.000;0.000;0.000;7.495;17.2;32.0;36.4;10.0;50.0;19.0;20.0;16.7;0.0;0.0;0.0;0.0;0.0;0.0;14.4;15.6;Information Tech;11.8 ;30.8 ;61.4;1.76;1.91;2.10;2.31;2.54;10.63;13.1;1.20 ;15.0 ;(3.1);2.9 ;2.4 
Access Midstream Partners LP;ACMP;MLP-Oil&Gas Pipelines;5;549;-;-;62.29;3.95;0.5950;0.6150;3.36;11-5-14;11-7-14;11-14-14;B14;&,Merge/WPZ;2.46;169.66;140.9 ;42.96;12;1.45;1.73;10.25;3.04;6.70;47.4 ;30.7 ;(6.8);24.9 ;12 ;11,884;46.8;0.97;n/a;n/a;17.4;107.5;n/a;n/a;1.938;;1.650;1.425;;0.217;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;5.230;17.4;15.8;556.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.1;142.8;Energy;n/a;n/a;45.8;2.13;2.34;2.58;2.84;3.12;13.01;20.9;0.47 ;28.3 ;(5.7);(0.4);4.6 
ACE Limited;ACE;Insurance;22;119;N;N;109.30;2.38;0.6300;0.6500;3.17;7-21-14;7-23-14;8-13-14;B13;Switz.,US$,&;2.60;26.03;(23.0);10.94;12;9.99;2.13;1.88;1.22;11.70;38.2 ;(2.1);25.8 ;5.1 ;25 ;36,692;0.6;0.21;0.500;1.235 ;4.2;16.0;12.9;10.5 ;2.000;;1.920;1.360;;1.280;1.150;1.090;1.040;0.960;0.880;0.800;0.740;0.680;0.560;0.480;0.400;15.340;4.2;41.2;6.3;11.3;5.5;4.8;8.3;9.1;10.0;8.1;8.8;21.4;16.7;20.0;12.5;9.5;Financials;4.3 ;15.3 ;71.8;2.20;2.22;2.34;2.46;2.58;11.80;10.8;0.78 ;21.1 ;(0.3);3.7 ;8.5 
Acme United Corp.;ACU;Office Supplies;11;302;-;-;17.25;2.09;0.0800;0.0900;12.50;9-29-14;10-1-14;10-16-14;A16;;0.36;28.35;(6.1);13.58;12;1.27;n/a;0.58;1.46;12.40;8.0 ;12.4 ;(0.3);n/a;1 ;56;13.6;0.83;n/a;n/a;7.1;12.6;12.0;n/a;0.300;#;0.280;0.250;;0.210;0.200;0.170;0.150;0.120;0.100;0.040;0.000;0.000;0.000;0.000;0.000;1.820;7.1;12.0;19.0;5.0;17.6;13.3;25.0;20.0;150.0;0.0;0.0;0.0;0.0;0.0;19.2;37.2;Industrials;0.5 ;14.1 ;59.5;0.32;0.36;0.37;0.38;0.39;1.82;10.5;0.34 ;64.9 ;(10.5);2.1 ;5.0 
Activision Blizzard Inc.;ATVI;Technology-Software;5;492;-;-;19.95;1.00;0.1900;0.2000;5.26;3-17-14;3-19-14;5-14-14;May;Annual Div.;0.20;21.28;37.0 ;21.22;12;0.94;1.28;3.34;1.99;8.60;(5.9);8.5 ;60.5 ;16.5 ;26 ;14,314;6.9;0.60;n/a;n/a;5.6;8.2;n/a;n/a;0.190;;0.180;0.165;;0.150;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.685;5.6;9.1;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;3.5;Information Tech;n/a;n/a;49.0;0.19;0.21;0.23;0.25;0.28;1.16;5.8;1.02 ;25.4 ;(17.5);(6.0);(3.8)
Admiral Group plc;AMIGY;Insurance;6;443;-;-;21.28;7.72;0.7330;0.8212;12.02;9-10-14;9-12-14;10-27-14;JuOc;SA,@ADR-UK;1.64;94.93;86.5 ;12.30;12;1.73;n/a;3.73;6.36;n/a;n/a;n/a;n/a;n/a;0 ;5,500;n/a;n/a;n/a;n/a;14.3;30.6;n/a;n/a;1.466;;1.282;1.194;;0.658;0.454;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;5.054;14.3;7.4;81.5;45.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.6;22.9;Financials;n/a;n/a;32.7;1.51;1.56;1.60;1.65;1.70;8.02;37.7;n/a;9.0 ;(21.9);4.3 ;(9.0)
AFLAC Inc.;AFL;Insurance;32;83;N;N;59.73;2.61;0.3700;0.3900;5.41;11-17-14;11-19-14;12-1-14;C01;;1.56;24.64;(19.6);9.44;12;6.33;2.83;1.16;1.54;18.70;10.6 ;2.1 ;20.9 ;3.3 ;22 ;27,061;0.3;0.28;0.390;0.484 ;6.0;7.6;8.1;16.8;1.420;;1.340;1.230;;1.140;1.120;0.960;0.800;0.550;0.440;0.380;0.300;0.230;0.193;0.165;0.145;10.413;6.0;8.9;7.9;1.8;16.7;20.0;45.5;25.0;15.8;26.7;30.4;19.5;16.7;13.8;18.2;10.9;Financials;1.3 ;10.8 ;72.9;1.56;1.60;1.65;1.70;1.76;8.27;13.8;1.54 ;8.6 ;(10.1);1.4 ;(2.3)
AGL Resources;GAS;Utility-Gas;12;238;N;N;53.91;3.64;0.4700;0.4900;4.26;2-12-14;2-14-14;3-1-14;C01;;1.96;45.48;(4.2);12.51;12;4.31;3.13;1.20;1.65;12.40;14.7 ;(29.4);(1.3);4.0 ;0 ;6,441;0.4;1.09;n/a;0.420 ;2.2;2.2;2.3;5.4 ;1.880;;1.840;1.800;;1.760;1.720;1.680;1.640;1.480;1.300;1.150;1.110;1.080;1.080;1.080;1.080;21.680;2.2;2.2;2.3;2.3;2.4;2.4;10.8;13.8;13.0;3.6;2.8;0.0;0.0;0.0;4.1;4.6;Utilities;(6.6);5.9 ;49.3;2.07;2.09;2.17;2.26;2.35;10.94;20.3;0.48 ;24.1 ;(2.0);2.6 ;6.3 
Air Products & Chem.;APD;Chemical-Specialty;32;80;Y;Y;134.66;2.29;0.7100;0.7700;8.45;3-28-14;4-1-14;5-12-14;B12;;3.08;63.90;115.2 ;27.94;9;4.82;2.86;2.77;3.73;14.00;1.7 ;11.1 ;(1.0);9.8 ;21 ;28,685;0.1;0.80;n/a;0.844 ;10.8;13.0;10.3;12.2;2.770;;2.500;2.230;;1.920;1.790;1.700;1.480;1.340;1.250;1.040;0.880;0.820;0.780;0.740;0.700;21.940;10.8;12.1;16.1;7.3;5.3;14.9;10.4;7.2;20.2;18.2;7.3;5.1;5.4;5.7;10.4;4.9;Materials;(15.4);12.5 ;69.9;2.82;3.10;3.40;3.73;4.10;17.15;12.7;1.21 ;33.5 ;(1.5);3.7 ;9.9 
Airgas Inc.;ARG;Chemical-Specialty;12;250;-;-;111.54;1.97;0.4800;0.5500;14.58;6-11-14;6-13-14;6-30-14;C30;;2.20;46.61;112.3 ;23.63;3;4.72;2.20;1.63;4.29;19.60;7.6 ;13.1 ;8.4 ;10.8 ;16 ;8,313;8.9;1.31;3.423;0.916 ;21.1;25.1;28.8;31.4 ;1.840;;1.520;1.220;;0.940;0.700;0.520;0.340;0.270;0.225;0.175;0.120;0.000;0.000;0.000;0.000;7.870;21.1;24.6;29.8;34.3;34.6;52.9;25.9;20.0;28.6;45.8;0.0;0.0;0.0;0.0;22.7;16.7;Materials;7.1 ;30.7 ;70.0;1.98;2.18;2.40;2.64;2.90;12.09;10.8;0.68 ;14.0 ;(2.9);1.7 ;4.1 
Albemarle Corp.;ALB;Chemical-Specialty;20;147;N;N;58.38;1.88;0.2400;0.2750;14.58;3-12-14;3-14-14;4-1-14;A01;;1.10;23.40;31.7 ;12.42;12;4.70;1.42;1.80;3.14;23.50;41.2 ;10.5 ;18.6 ;8.8 ;17 ;4,568;0.1;0.72;0.799;1.143 ;23.9;19.7;14.9;13.0 ;0.960;;0.775;0.635;;0.560;0.500;0.480;0.420;0.345;0.310;0.293;0.283;0.270;0.260;0.230;0.200;6.520;23.9;22.0;13.4;12.0;4.2;14.3;21.7;11.3;6.0;3.5;4.6;3.8;13.0;15.0;12.1;6.8;Materials;4.3 ;16.8 ;81.7;1.06;1.16;1.26;1.37;1.49;6.35;10.9;1.60 ;13.7 ;(23.1);(2.9);(9.8)
Alfa Laval AB;ALFVY;Industrial Equipment;5;496;-;-;20.79;2.75;0.5362;0.5710;6.50;4-30-14;5-2-14;5-22-14;May;Sweden,Annual;0.57;57.68;90.8 ;21.00;12;0.99;n/a;2.07;3.90;n/a;n/a;n/a;n/a;n/a;0 ;8,720;n/a;n/a;n/a;n/a;12.4;17.4;n/a;n/a;0.536;;0.477;0.476;;0.331;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.820;12.4;0.2;43.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;11.4;Industrials;n/a;n/a;33.0;0.55;0.57;0.59;0.60;0.62;2.93;14.1;n/a;5.0 ;(26.0);(1.0);(13.6)
Alliance Holdings GP LP;AHGP;MLP-Coal;9;371;-;-;68.66;5.20;0.8700;0.8925;2.59;11-10-14;11-12-14;11-19-14;B19;&;3.57;83.02;132.2 ;15.97;12;4.30;1.14;1.83;7.60;51.10;19.2 ;7.2 ;23.5 ;14.0 ;4 ;4,110;4.1;1.48;0.793;n/a;13.7;17.7;18.6;n/a;3.095;;2.723;2.275;;1.900;1.685;1.318;1.030;0.430;0.000;0.000;0.000;0.000;0.000;0.000;0.000;14.455;13.7;19.7;19.7;12.8;27.9;27.9;139.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.7;35.1;Energy;7.9 ;23.8 ;55.6;3.40;3.65;4.01;4.42;4.86;20.34;29.6;0.54 ;38.1 ;(7.2);(0.2);6.8 
Alliance Resource Partners LP;ARLP;MLP-Coal;12;263;-;-;48.09;5.30;0.6150;0.6375;3.66;11-5-14;11-7-14;11-14-14;B14;&;2.55;61.59;39.0 ;11.62;12;4.14;0.92;1.59;3.74;35.20;18.6 ;5.0 ;24.8 ;12.6 ;9 ;3,562;1.4;0.84;0.505;0.791 ;9.7;12.5;12.5;15.8 ;2.283;;2.081;1.814;;1.603;1.475;1.265;1.100;0.960;0.788;0.622;0.525;0.500;0.500;0.500;0.058;16.072;9.7;14.7;13.2;8.6;16.6;15.0;14.6;21.9;26.6;18.5;5.0;0.0;0.0;769.6;66.7;195.1;Energy;6.2 ;17.8 ;66.1;2.51;2.64;2.90;3.19;3.51;14.75;30.7;0.84 ;47.3 ;(9.5);4.9 ;9.5 
Alliant Energy Corp.;LNT;Utility-Electric/Gas;11;276;N;N;61.91;3.30;0.4700;0.5100;8.51;1-29-14;1-31-14;2-14-14;B14;;2.04;57.14;26.0 ;17.34;12;3.57;3.69;2.02;2.06;11.90;12.3 ;5.1 ;5.4 ;4.7 ;11 ;6,868;0.2;1.09;1.125;0.932 ;4.4;6.0;6.1;6.5 ;1.880;;1.800;1.700;;1.580;1.500;1.400;1.270;1.150;1.050;1.013;1.000;2.000;2.000;2.000;2.000;23.343;4.4;5.9;7.6;5.3;7.1;10.2;10.4;9.5;3.7;1.3;0.0;0.0;0.0;0.0;4.7;3.8;Utilities;(8.0);9.4 ;57.2;2.07;2.17;2.28;2.38;2.50;11.40;18.4;0.46 ;28.3 ;0.0 ;7.9 ;11.1 
Altera Corp.;ALTR;Technology-Hardware;8;388;-;-;34.37;2.09;0.1500;0.1800;20.00;8-7-14;8-11-14;9-2-14;C02;;0.72;49.66;82.2 ;23.70;12;1.45;2.37;5.73;3.15;13.20;(20.9);17.8 ;2.9 ;10.0 ;31 ;10,620;0.3;0.44;7.362;n/a;38.9;31.5;21.4;n/a;0.500;;0.360;0.280;;0.220;0.200;0.190;0.120;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.870;38.9;28.6;27.3;10.0;5.3;58.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;18.1;Information Tech;(0.3);23.4 ;59.2;0.51;0.56;0.61;0.67;0.74;3.08;9.0;1.26 ;13.5 ;(8.7);(0.5);0.8 
